Time,Open,High,Low,Close,Volume
2025-05-30 15:30:00,1.0703,1.095,1.0675,1.0826,10762764.0
2025-05-30 15:45:00,1.0825,1.0936,1.0691,1.0785,9581352.0
2025-05-30 16:00:00,1.0785,1.1314,1.0741,1.0955,20386013.0
2025-05-30 16:15:00,1.0955,1.1129,1.0744,1.0894,12498328.0
2025-05-30 16:30:00,1.0893,1.1326,1.0831,1.1184,13849856.0
2025-05-30 16:45:00,1.1186,1.1385,1.1069,1.1347,15879847.0
2025-05-30 17:00:00,1.1346,1.1396,1.0704,1.0794,16898827.0
2025-05-30 17:15:00,1.0795,1.1039,1.0762,1.0998,8414265.0
2025-05-30 17:30:00,1.0998,1.1072,1.0821,1.0951,5842631.0
2025-05-30 17:45:00,1.0951,1.1058,1.0852,1.0862,3895403.0
2025-05-30 18:00:00,1.0863,1.1117,1.0862,1.0885,5452601.0
2025-05-30 18:15:00,1.0884,1.0944,1.0632,1.0671,6665598.0
2025-05-30 18:30:00,1.0671,1.0815,1.0611,1.0756,5177119.0
2025-05-30 18:45:00,1.0757,1.0814,1.0641,1.0809,4214656.0
2025-05-30 19:00:00,1.0805,1.0886,1.0687,1.0776,4518745.0
2025-05-30 19:15:00,1.0775,1.0873,1.0632,1.0655,3783802.0
2025-05-30 19:30:00,1.0655,1.0783,1.0631,1.0768,2835576.0
2025-05-30 19:45:00,1.0769,1.092,1.0759,1.0826,3945591.0
2025-05-30 20:00:00,1.0826,1.0852,1.055,1.0581,4574358.0
2025-05-30 20:15:00,1.0582,1.0785,1.0569,1.0785,3765922.0
2025-05-30 20:30:00,1.0784,1.079,1.0591,1.0705,3602159.0
2025-05-30 20:45:00,1.0706,1.0766,1.0619,1.0727,3124022.0
2025-05-30 21:00:00,1.0728,1.0872,1.0638,1.0645,4319764.0
2025-05-30 21:15:00,1.0646,1.0684,1.0432,1.048,7558924.0
2025-05-30 21:30:00,1.048,1.0596,1.0466,1.0564,2487425.0
2025-05-30 21:45:00,1.0563,1.0633,1.0176,1.0382,6195227.0
2025-05-30 22:00:00,1.0382,1.0507,1.0327,1.0373,5049604.0
2025-05-30 22:15:00,1.0374,1.0415,1.0294,1.0326,3672361.0
2025-05-30 22:30:00,1.0326,1.0493,1.03,1.0474,3567708.0
2025-05-30 22:45:00,1.0475,1.0559,1.0353,1.0355,4243977.0
2025-05-30 23:00:00,1.0357,1.0449,1.0331,1.0406,5582768.0
2025-05-30 23:15:00,1.0407,1.0595,1.0397,1.0528,6526877.0
2025-05-30 23:30:00,1.0528,1.0777,1.0499,1.0675,6826389.0
2025-05-30 23:45:00,1.0675,1.0774,1.0606,1.0707,3529590.0
2025-05-31 00:00:00,1.0707,1.0782,1.0444,1.0536,10996267.0
2025-05-31 00:15:00,1.0537,1.0636,1.0125,1.0202,13743439.0
2025-05-31 00:30:00,1.0202,1.0409,1.0186,1.0312,7499601.0
2025-05-31 00:45:00,1.0312,1.0655,1.0277,1.0556,8800543.0
2025-05-31 01:00:00,1.0555,1.0847,1.0537,1.0817,9846834.0
2025-05-31 01:15:00,1.0819,1.1246,1.0784,1.0983,19574749.0
2025-05-31 01:30:00,1.0983,1.1071,1.0904,1.1032,7326661.0
2025-05-31 01:45:00,1.1033,1.1095,1.0835,1.0972,5666819.0
2025-05-31 02:00:00,1.0972,1.1179,1.0883,1.1048,5662404.0
2025-05-31 02:15:00,1.1048,1.1358,1.1043,1.1244,10585320.0
2025-05-31 02:30:00,1.1243,1.1591,1.12,1.1517,11582509.0
2025-05-31 02:45:00,1.1517,1.1666,1.1426,1.1536,13983176.0
2025-05-31 03:00:00,1.1536,1.1972,1.1536,1.1893,12510868.0
2025-05-31 03:15:00,1.1892,1.1893,1.1161,1.1575,17662444.0
2025-05-31 03:30:00,1.1576,1.1696,1.1397,1.1524,9198143.0
2025-05-31 03:45:00,1.1524,1.1734,1.1431,1.1721,5666589.0
2025-05-31 04:00:00,1.172,1.1874,1.1557,1.1745,8639076.0
2025-05-31 04:15:00,1.1745,1.1943,1.1633,1.1894,7352309.0
2025-05-31 04:30:00,1.1894,1.2178,1.1731,1.1918,16311985.0
2025-05-31 04:45:00,1.1919,1.2517,1.19,1.2265,18994186.0
2025-05-31 05:00:00,1.2264,1.244,1.2089,1.2415,11792942.0
2025-05-31 05:15:00,1.2414,1.2866,1.2297,1.2856,15683421.0
2025-05-31 05:30:00,1.2856,1.29,1.256,1.2802,12317198.0
2025-05-31 05:45:00,1.2803,1.2825,1.2621,1.2754,7782419.0
2025-05-31 06:00:00,1.2754,1.2849,1.2641,1.2642,8772847.0
2025-05-31 06:15:00,1.2642,1.2789,1.2468,1.2721,12253915.0
2025-05-31 06:30:00,1.272,1.2739,1.2506,1.2614,9233554.0
2025-05-31 06:45:00,1.2613,1.2662,1.2418,1.2488,8014960.0
2025-05-31 07:00:00,1.2488,1.3084,1.2462,1.2989,17312779.0
2025-05-31 07:15:00,1.2989,1.3388,1.2865,1.3243,19978040.0
2025-05-31 07:30:00,1.3242,1.337,1.3111,1.3189,12664018.0
2025-05-31 07:45:00,1.319,1.3755,1.3072,1.3647,20979503.0
2025-05-31 08:00:00,1.3646,1.3674,1.0891,1.1226,92451131.0
2025-05-31 08:15:00,1.1225,1.154,1.0316,1.047,71997972.0
2025-05-31 08:30:00,1.0472,1.0681,0.963,0.9855,87714687.0
2025-05-31 08:45:00,0.9855,1.027,0.9501,0.9716,52649043.0
2025-05-31 09:00:00,0.9717,1.0288,0.88,0.8914,91191177.0
