Time,Open,High,Low,Close,Volume
2024-12-03,3.28614,3.48499,2.96546,3.3032,5375969.7
2024-12-04,3.30357,3.5007,3.19342,3.30651,4500100.3
2024-12-05,3.30704,4.09702,3.13249,3.72917,8089886.8
2024-12-06,3.72771,4.19638,3.63475,3.92833,5971756.3
2024-12-07,3.9286,3.95173,3.75076,3.77715,2239592.5
2024-12-08,3.77812,3.83074,3.65131,3.81554,2133842.9
2024-12-09,3.81547,3.81652,2.4568,2.92593,5547402.3
2024-12-10,2.92612,3.04173,2.57874,2.83293,5107137.4
2024-12-11,2.83465,3.16016,2.71351,3.13314,3401176.7
2024-12-12,3.13288,3.3577,3.01228,3.07756,4193823.1
2024-12-13,3.07803,3.13378,2.98821,3.08832,3700595.9
2024-12-14,3.08807,3.11534,2.83754,2.92208,3226144.8
2024-12-15,2.9223,3.09745,2.86561,3.05032,3504399.6
2024-12-16,3.05072,3.15966,2.84671,2.86637,3814278.0
2024-12-17,2.86641,2.91212,2.68698,2.70883,3821165.1
2024-12-18,2.70938,2.73286,2.34792,2.40961,4829467.8
2024-12-19,2.41101,2.46306,2.10227,2.18581,5661541.3
2024-12-20,2.18563,2.39423,1.93327,2.36141,5642620.8
2024-12-21,2.3602,2.50077,2.14528,2.18024,4135649.0
2024-12-22,2.1814,2.30368,2.13528,2.21239,3519571.3
2024-12-23,2.21247,2.35933,2.1101,2.32101,3823571.6
2024-12-24,2.32034,2.41529,2.24719,2.35506,3508811.6
2024-12-25,2.35365,2.38566,2.2616,2.30016,2960011.8
2024-12-26,2.29976,2.32259,2.14384,2.18254,3423497.7
2024-12-27,2.18229,2.30769,2.1537,2.18219,4062506.7
2024-12-28,2.18306,2.24618,2.12832,2.22738,3227805.7
2024-12-29,2.22768,2.23447,2.08312,2.10273,3095473.9
2024-12-30,2.10236,2.19409,2.00897,2.07378,4015047.6
2024-12-31,2.07409,2.17934,2.01628,2.08754,3208438.3
2025-01-01,2.08709,2.25184,2.07527,2.22258,3896455.9
2025-01-02,2.22254,2.355,2.20547,2.29432,3575596.2
2025-01-03,2.29536,2.42744,2.20566,2.41082,3237017.1
2025-01-04,2.41016,2.44449,2.33948,2.38005,2560858.1
2025-01-05,2.38018,2.43434,2.30788,2.4088,2418780.4
2025-01-06,2.40847,2.80256,2.34326,2.61868,7945373.6
2025-01-07,2.61868,2.68232,2.30454,2.32471,9847873.7
2025-01-08,2.32467,2.36393,2.07388,2.19729,8954165.9
2025-01-09,2.1972,2.23554,2.07099,2.11838,5817216.4
2025-01-10,2.11898,2.20243,2.05044,2.15983,5826634.6
2025-01-11,2.16027,2.23225,2.11914,2.19074,3662458.0
2025-01-12,2.19096,2.20345,2.09682,2.14339,3501771.2
2025-01-13,2.1436,2.20593,1.83599,1.95901,8608823.1
2025-01-14,1.95965,2.05931,1.94156,2.03679,4447121.8
2025-01-15,2.03691,2.21783,1.96216,2.21195,4651165.3
2025-01-16,2.21218,2.24671,2.11333,2.14812,3850386.5
2025-01-17,2.149,2.32317,2.14899,2.29569,4049817.8
2025-01-18,2.29581,2.3805,2.09287,2.1433,6582284.9
2025-01-19,2.1434,2.23228,1.855,1.90407,8187540.7
2025-01-20,1.90269,2.15585,1.82384,1.89211,7032489.7
2025-01-21,1.89219,2.32844,1.78989,2.12855,16678078.3
2025-01-22,2.12889,2.46924,2.05129,2.31358,12655237.6
2025-01-23,2.31265,2.34643,2.10173,2.26246,10105514.3
2025-01-24,2.26282,2.32691,2.11869,2.13051,6065778.0
2025-01-25,2.13074,2.18,2.07556,2.09847,4165916.5
2025-01-26,2.09871,2.12089,1.9816,1.98979,3895583.0
2025-01-27,1.98996,1.99136,1.80982,1.90574,12969951.4
2025-01-28,1.90622,1.93097,1.6201,1.6309,7054768.0
2025-01-29,1.63086,1.82884,1.61032,1.72416,10691096.4
2025-01-30,1.7244,1.8843,1.7062,1.76673,8236108.1
2025-01-31,1.76688,1.87752,1.73761,1.77231,6699390.7
2025-02-01,1.77232,1.8091,1.59352,1.61337,5663565.6
2025-02-02,1.61317,1.64026,1.28356,1.39042,13596514.6
2025-02-03,1.39066,1.44972,0.95937,1.42073,28991724.6
2025-02-04,1.42065,1.43129,1.2476,1.31378,11848142.4
2025-02-05,1.31388,1.36773,1.25897,1.28674,7439681.0
2025-02-06,1.28685,1.33019,1.18141,1.20026,7301916.8
2025-02-07,1.20047,1.31224,1.15058,1.20392,8475698.7
2025-02-08,1.20424,1.2634,1.19681,1.24681,5961802.3
2025-02-09,1.24709,1.28643,1.14646,1.22175,5777687.9
2025-02-10,1.22162,1.37633,1.17053,1.258,11317311.8
2025-02-11,1.25815,1.34561,1.22104,1.2435,9726754.2
2025-02-12,1.24345,1.30102,1.1684,1.28353,7521381.1
2025-02-13,1.2838,1.2921,1.20742,1.22413,6063149.4
2025-02-14,1.2243,1.34074,1.2126,1.29407,5639099.6
2025-02-15,1.29426,1.30559,1.21574,1.23272,3954834.8
2025-02-16,1.23272,1.25462,1.1976,1.21897,4266645.9
2025-02-17,1.21905,1.2776,1.16964,1.20376,5430940.1
2025-02-18,1.20366,1.21269,1.07461,1.13627,8331611.5
2025-02-19,1.13689,1.15975,1.10773,1.1305,4036523.3
2025-02-20,1.13063,1.21233,1.12516,1.20161,4414045.7
2025-02-21,1.20141,1.32552,1.16295,1.18113,10131708.5
