Time,Open,High,Low,Close,Volume
2025-05-24 16:00:00,6.599,6.603,6.547,6.601,5168.0
2025-05-24 17:00:00,6.6,6.634,6.582,6.591,5901.1
2025-05-24 18:00:00,6.589,6.616,6.568,6.581,6248.3
2025-05-24 19:00:00,6.572,6.608,6.566,6.596,4293.5
2025-05-24 20:00:00,6.594,6.605,6.573,6.58,3467.2
2025-05-24 21:00:00,6.581,6.584,6.504,6.548,6059.0
2025-05-24 22:00:00,6.549,6.549,6.469,6.478,10066.3
2025-05-24 23:00:00,6.481,6.518,6.458,6.486,7018.5
2025-05-25 00:00:00,6.487,6.54,6.38,6.397,18580.8
2025-05-25 01:00:00,6.397,6.442,6.374,6.395,13255.4
2025-05-25 02:00:00,6.396,6.434,6.368,6.429,9909.9
2025-05-25 03:00:00,6.43,6.472,6.429,6.463,7638.7
2025-05-25 04:00:00,6.462,6.475,6.439,6.473,3684.9
2025-05-25 05:00:00,6.472,6.479,6.443,6.478,6177.8
2025-05-25 06:00:00,6.476,6.481,6.45,6.461,9416.6
2025-05-25 07:00:00,6.459,6.46,6.361,6.411,25398.9
2025-05-25 08:00:00,6.41,6.41,6.299,6.338,20746.6
2025-05-25 09:00:00,6.335,6.361,6.315,6.359,8830.7
2025-05-25 10:00:00,6.362,6.373,6.334,6.339,5062.9
2025-05-25 11:00:00,6.339,6.374,6.33,6.366,7120.6
2025-05-25 12:00:00,6.368,6.415,6.337,6.408,9091.3
2025-05-25 13:00:00,6.406,6.42,6.364,6.372,8403.9
2025-05-25 14:00:00,6.373,6.392,6.33,6.344,6317.8
2025-05-25 15:00:00,6.347,6.36,6.265,6.347,21834.1
2025-05-25 16:00:00,6.347,6.347,6.279,6.333,10709.5
2025-05-25 17:00:00,6.334,6.354,6.303,6.321,11423.0
2025-05-25 18:00:00,6.322,6.355,6.317,6.335,4715.5
2025-05-25 19:00:00,6.336,6.4,6.326,6.377,5871.1
2025-05-25 20:00:00,6.376,6.379,6.34,6.369,4395.5
2025-05-25 21:00:00,6.368,6.38,6.33,6.35,4036.7
2025-05-25 22:00:00,6.347,6.479,6.337,6.473,14323.1
2025-05-25 23:00:00,6.471,6.483,6.436,6.471,10461.4
2025-05-26 00:00:00,6.473,6.498,6.439,6.491,13738.9
2025-05-26 01:00:00,6.491,6.506,6.464,6.492,8134.5
2025-05-26 02:00:00,6.495,6.505,6.457,6.467,8298.3
2025-05-26 03:00:00,6.464,6.515,6.462,6.495,6264.6
2025-05-26 04:00:00,6.499,6.521,6.485,6.514,8101.1
2025-05-26 05:00:00,6.513,6.528,6.494,6.526,3703.5
