Time,Open,High,Low,Close,Volume
2025-05-30 15:30:00,9.749,9.765,9.568,9.711,114969.1
2025-05-30 15:45:00,9.715,9.766,9.6,9.633,47509.0
2025-05-30 16:00:00,9.633,9.675,9.501,9.568,99190.0
2025-05-30 16:15:00,9.57,9.613,9.333,9.369,115257.5
2025-05-30 16:30:00,9.371,9.443,9.146,9.337,230084.2
2025-05-30 16:45:00,9.338,9.353,9.279,9.335,54106.8
2025-05-30 17:00:00,9.332,9.491,9.287,9.436,69036.3
2025-05-30 17:15:00,9.437,9.49,9.352,9.449,60842.4
2025-05-30 17:30:00,9.451,9.499,9.381,9.402,41793.6
2025-05-30 17:45:00,9.401,9.433,9.341,9.394,29596.1
2025-05-30 18:00:00,9.393,9.417,9.23,9.244,73287.0
2025-05-30 18:15:00,9.249,9.363,9.221,9.31,55181.0
2025-05-30 18:30:00,9.316,9.325,9.191,9.24,43039.4
2025-05-30 18:45:00,9.244,9.252,9.164,9.209,44039.5
2025-05-30 19:00:00,9.208,9.208,9.101,9.139,81465.1
2025-05-30 19:15:00,9.14,9.218,9.13,9.144,49497.5
2025-05-30 19:30:00,9.143,9.146,9.004,9.048,78564.1
2025-05-30 19:45:00,9.047,9.142,9.009,9.097,37115.0
2025-05-30 20:00:00,9.094,9.118,9.02,9.047,34278.7
2025-05-30 20:15:00,9.046,9.161,9.023,9.038,37807.4
2025-05-30 20:30:00,9.036,9.123,9.001,9.114,40969.4
2025-05-30 20:45:00,9.116,9.166,9.031,9.037,38414.5
2025-05-30 21:00:00,9.039,9.137,9.014,9.115,30831.6
2025-05-30 21:15:00,9.117,9.186,9.076,9.08,38290.6
2025-05-30 21:30:00,9.079,9.162,9.0,9.001,32471.1
2025-05-30 21:45:00,9.0,9.007,8.892,8.915,66963.2
2025-05-30 22:00:00,8.915,8.946,8.85,8.93,56487.5
2025-05-30 22:15:00,8.932,9.101,8.897,8.945,80078.6
2025-05-30 22:30:00,8.945,8.961,8.705,8.749,85286.5
2025-05-30 22:45:00,8.749,8.891,8.741,8.745,53463.8
2025-05-30 23:00:00,8.744,8.82,8.666,8.675,74884.7
2025-05-30 23:15:00,8.676,8.721,8.52,8.63,80586.8
2025-05-30 23:30:00,8.632,8.644,8.553,8.582,36897.5
2025-05-30 23:45:00,8.586,8.612,8.525,8.544,28903.7
2025-05-31 00:00:00,8.544,8.567,8.44,8.446,79934.2
2025-05-31 00:15:00,8.447,8.508,8.322,8.387,82459.6
2025-05-31 00:30:00,8.387,8.623,8.379,8.619,59515.2
2025-05-31 00:45:00,8.619,8.7,8.509,8.548,56743.8
2025-05-31 01:00:00,8.55,8.55,8.414,8.462,105417.8
2025-05-31 01:15:00,8.465,8.483,8.312,8.343,43452.0
2025-05-31 01:30:00,8.342,8.394,8.227,8.359,66797.4
2025-05-31 01:45:00,8.359,8.363,8.25,8.325,65154.3
2025-05-31 02:00:00,8.324,8.428,8.278,8.362,39904.2
2025-05-31 02:15:00,8.361,8.485,8.354,8.357,37084.1
2025-05-31 02:30:00,8.36,8.389,8.32,8.34,19485.5
2025-05-31 02:45:00,8.342,8.397,8.322,8.352,26528.8
2025-05-31 03:00:00,8.353,8.388,8.247,8.267,68273.9
2025-05-31 03:15:00,8.265,8.334,8.236,8.307,53461.5
2025-05-31 03:30:00,8.306,8.406,8.304,8.354,29537.0
2025-05-31 03:45:00,8.356,8.431,8.34,8.417,16056.7
2025-05-31 04:00:00,8.417,8.445,8.395,8.414,28344.8
2025-05-31 04:15:00,8.412,8.526,8.374,8.487,28796.4
2025-05-31 04:30:00,8.487,8.514,8.418,8.426,18647.6
2025-05-31 04:45:00,8.426,8.47,8.385,8.454,42997.1
2025-05-31 05:00:00,8.452,8.496,8.362,8.375,31756.5
2025-05-31 05:15:00,8.376,8.404,8.35,8.401,22417.8
2025-05-31 05:30:00,8.404,8.554,8.404,8.469,55674.9
2025-05-31 05:45:00,8.468,8.47,8.357,8.363,17248.8
2025-05-31 06:00:00,8.36,8.4,8.348,8.398,24245.8
2025-05-31 06:15:00,8.4,8.457,8.392,8.397,25995.7
2025-05-31 06:30:00,8.395,8.48,8.395,8.466,23231.1
2025-05-31 06:45:00,8.466,8.493,8.417,8.418,12708.6
2025-05-31 07:00:00,8.417,8.434,8.39,8.391,19674.3
2025-05-31 07:15:00,8.391,8.476,8.373,8.472,19486.1
2025-05-31 07:30:00,8.471,8.703,8.444,8.661,93032.8
2025-05-31 07:45:00,8.663,8.675,8.519,8.541,61834.9
2025-05-31 08:00:00,8.541,8.601,8.486,8.513,40463.4
2025-05-31 08:15:00,8.512,8.527,8.457,8.471,28045.3
2025-05-31 08:30:00,8.469,8.491,8.371,8.402,34091.0
2025-05-31 08:45:00,8.403,8.473,8.376,8.431,22321.0
2025-05-31 09:00:00,8.43,8.512,8.404,8.486,32388.5
2025-05-31 09:15:00,8.487,8.564,8.422,8.443,40787.7
2025-05-31 09:30:00,8.442,8.496,8.432,8.481,17703.9
2025-05-31 09:45:00,8.482,8.557,8.482,8.513,23089.3
2025-05-31 10:00:00,8.513,8.569,8.444,8.53,46279.1
2025-05-31 10:15:00,8.532,8.567,8.377,8.407,41813.1
2025-05-31 10:30:00,8.406,8.408,8.334,8.348,28937.6
2025-05-31 10:45:00,8.349,8.404,8.325,8.396,14467.3
2025-05-31 11:00:00,8.394,8.397,8.328,8.331,27695.0
2025-05-31 11:15:00,8.332,8.368,8.326,8.35,13877.5
2025-05-31 11:30:00,8.351,8.36,8.31,8.339,23290.5
2025-05-31 11:45:00,8.34,8.369,8.331,8.362,14376.2
2025-05-31 12:00:00,8.362,8.438,8.329,8.437,30902.4
2025-05-31 12:15:00,8.437,8.472,8.385,8.39,13466.5
